order_id,customer_name,customer_age,email,phone,order_date,shipping_date,city,state,sales_amount,quantity,discount_percent,payment_mode,is_returned,product_category
1072,sara ,200,abc@,12345,13-04-2023,2024.07.09,,Tamil Nadu,9999999,,10,,Y,Clothing
1016,RAHUL,,user@domain,99999abc,2024.03.11,03-11-2024,PUNE ,Delhi,9999999,5,,,, electronics 
1008,,200,abc@,9876543210,2023/09/28,01/20/2024,Chennai,Delhi,500,-1,,NetBanking,Yes,
1074,  Amit,30,user@domain,,2023-04-17,05/26/2023, mumbai,Maharashtra,,1,0,card,,Grocery
1014,RAHUL,-5,user@domain,99999abc,03/13/2023,2024/06/09,Chennai,,-300,2,110,,N,Electronics
1023,RAHUL,-5,test@gmail.com,,2024.12.01,02-11-2024,PUNE ,Tamil Nadu,500,5,110,UPI ,,Grocery
1037,Anita,,,12345,01/21/2023,2024/10/25,PUNE ,Tamil Nadu,9999999,2,0,card,Yes,
1034,sara ,30,,9876543210,2024.09.06,2023-07-13,PUNE ,Maharashtra,,10,,card,,Grocery
1093,RAHUL,35,test@gmail.com,,02-05-2023,08/05/2023,Delhi,Delhi,1000,,5,,Y, electronics 
1094,RAHUL,35,abc@,12345,2024-04-11,04-05-2023, mumbai,Maharashtra,100,,5,,No,Clothing
1048,,200,,9876543210,03-08-2023,2023-07-26,Chennai,Maharashtra,9999999,5,,,Y,Grocery
1068,,25,test@gmail.com,,11/27/2023,2024.04.21,Chennai,Maharashtra,1000,5,110,UPI ,No,Clothing
1061,  Amit,35,test@gmail.com,,2024.04.03,19-09-2024,,Maharashtra,-300,10,5,card,,
1059,Anita,25,,12345,2023/03/29,2024.06.30,PUNE ,,9999999,-1,10,NetBanking,N,Clothing
1049,  Amit,-5,abc@,9876543210,08-01-2024,02-03-2024,PUNE ,,1000,5,10,UPI ,,Grocery
1077,,25,test@gmail.com,9876543210,2023-04-10,25-09-2023,PUNE ,Delhi,9999999,,0,Cash,Yes,Grocery
1074,sara ,-5,user@domain,,25-10-2024,2024-01-02,Chennai,Maharashtra,500,2,,,,Electronics
1008,,30,abc@,,2023.05.11,2024/10/25,,,,1,,card,No,Grocery
1033,Anita,30,abc@,,2024.10.23,03/13/2023,Delhi,Delhi,1000,2,5,UPI ,Y,Clothing
1075,,,,9876543210,05-11-2023,2023-01-15, mumbai,Maharashtra,,-1,110,Cash,N,Electronics
1098,Anita,,,12345,2023.12.10,07/17/2023,Delhi,Tamil Nadu,500,1,,UPI ,,Grocery
1034,Anita,200,user@domain,12345,2024.05.06,2024/01/08,Chennai,,500,2,5,UPI ,,Grocery
1000,Anita,35,test@gmail.com,9876543210,2024-02-18,2023/05/15,PUNE ,Delhi,,2,5,NetBanking,Y,
1039,Anita,200,,99999abc,21-01-2024,11/25/2024, mumbai,Tamil Nadu,1000,10,,NetBanking,N,Electronics
1063,Anita,-5,,12345,07/11/2023,2023-12-12,Chennai,Maharashtra,,-1,5,UPI ,,
1021,sara ,200,abc@,,10/04/2023,02/27/2023,Chennai,Maharashtra,,,0,Cash,,
1059,  Amit,25,,99999abc,06/10/2023,07/17/2023,Chennai,Maharashtra,100,10,0,card,No,
1063,RAHUL,-5,,99999abc,2024-04-04,25-02-2023, mumbai,,1000,1,,card,No, electronics 
1092,  Amit,,,12345,11/10/2023,01/26/2023, mumbai,Delhi,100,,110,,Yes,
1071,Anita,30,,99999abc,01/22/2023,2023/08/21,,Tamil Nadu,9999999,10,0,,Y,Clothing
1010,sara ,,abc@,99999abc,2023-09-10,2023.02.08,,Delhi,,-1,0,card,N,Grocery
,,35,user@domain,12345,2024-07-14,2024/07/17,Delhi,,9999999,5,,UPI ,, electronics 
1013,sara ,-5,user@domain,12345,19-04-2024,2023/05/25, mumbai,Delhi,1000,5,10,UPI ,,
1059,Anita,-5,test@gmail.com,99999abc,2023-02-28,2024.08.29, mumbai,,,1,5,NetBanking,Yes,Grocery
1029,sara ,25,,,2024-05-25,13-07-2024, mumbai,Maharashtra,9999999,5,0,NetBanking,,Electronics
1034,sara ,35,abc@,9876543210,2024/11/12,2023/07/10,,Tamil Nadu,-300,10,10,,Y,Electronics
1084,Anita,30,test@gmail.com,99999abc,04/20/2024,11/28/2024,Chennai,Maharashtra,500,1,110,card,Yes,Grocery
1036,sara ,-5,test@gmail.com,99999abc,2024.11.30,2023/04/05,PUNE ,Delhi,,,10,UPI ,Y,Clothing
1004,RAHUL,-5,user@domain,,2023.07.09,01/22/2023,,Maharashtra,500,-1,,card,Yes,Grocery
